1;4567;"<<<-------ELEGIR NUMERO"
2;10;"<<<-------ULTIMA VERSIÓN comanda"
3;1234;"Actualización de máquinas"
4;2345;"Actualización de sector"
5;3456;"Actualización de supervisor"
6;4567;"Actualización de programa"
7;3;"Versión de lista de máquina"
8;2;"Versión de lista de sectores"
9;2;"Versión de lista de supervisores"
10;2;"Versión de programa"
11;5678;"Actualización de Comanda"
13;28062021;"Ultima actualización BD_ITEMS_SIFAB"
14;18685;"ultima_comanda"
